Código,Fecha Depósito,Nombre entidad que deposita,Texto depositado,Pólizas/Cláusulas,Temas,Res. Autoriza,Res. Prohibición
POL320180070,25/07/2018,CHUBB SEGUROS CHILE S.A.,PÓLIZA DE SEGURO ONCOLÓGICO ,,"- Salud
", - , - 
POL120180069,19/07/2018,COMPAÑIA DE SEGUROS DE CREDITO CONTINENTAL S.A.,PÓLIZA DE SEGURO DE GARANTÍA A PRIMER REQUERIMIENTO PARA ADMINISTRADORAS DE CARTERAS,,"- Garantías y Fidelidad
- MODELO PROHIBIDO
", - ,4406 del 14/05/2024
CAD220180068,13/07/2018,COLMENA COMPAÑIA DE SEGUROS DE VIDA S.A.,CLÁUSULA ADICIONAL DE FALLECIMIENTO,"POL320180067
","- Vida
", - , - 
POL320180067,13/07/2018,COLMENA COMPAÑIA DE SEGUROS DE VIDA S.A.,SEGURO PARA PRESTACIONES MEDICAS DE ALTO COSTO,"CAD220180068
","- Salud
", - , - 
CAD320180066,12/07/2018,COMPAÑIA DE SEGUROS CONFUTURO S.A.,CLAUSULA DE PROTECCIÓN ONCOLÓGICA,"POL220180062
","- Asistencia Vida
", - , - 
CAD320180065,12/07/2018,COMPAÑIA DE SEGUROS CONFUTURO S.A.,CLAUSULA DE MUERTE ACCIDENTAL,"POL220180062
","- Accidentes Personales
", - , - 
CAD320180064,12/07/2018,COMPAÑIA DE SEGUROS CONFUTURO S.A.,CLAUSULA DE INVALIDEZ POR ACCIDENTE,"POL220180062
","- Accidentes Personales
", - , - 
CAD320180063,12/07/2018,COMPAÑIA DE SEGUROS CONFUTURO S.A.,CLAUSULA BENEFICIOS DE GASTOS MÉDICOS POR ACCIDENTE,"POL220180062
","- Accidentes Personales
", - , - 
POL220180062,12/07/2018,COMPAÑIA DE SEGUROS CONFUTURO S.A.,PÓLIZA DE SEGURO DE VIDA DOTAL,"CAD320180063
CAD320180064
CAD320180065
CAD320180066
","- Vida
", - , - 
POL120180061,10/07/2018,BCI SEGUROS GENERALES S.A.,PÓLIZA DE RIESGOS CIBERNÉTICOS,,"- Otro tema
", - , - 
CAD320180060,10/07/2018,ZURICH SANTANDER SEGUROS DE VIDA CHILE S.A.,CLAUSULA PAGO ANTICIPADO DEL CAPITAL ASEGURADO EN CASO DE INVALIDEZ PERMANENTE  DOS TERCIOS,"POL220180047
","- Otro tema
", - , - 
CAD120180059,09/07/2018,MUTUALIDAD DE CARABINEROS,CLÁUSULA DE INCENDIO Y DAÑOS MATERIALES CAUSADOS POR ERUPCIÓN VOLCÁNICA,"POL120140229
","- Incendio
", - , - 
CAD220180058,05/07/2018,OHIO NATIONAL SEGUROS DE VIDA S.A.,CLAUSULA DE ANTICIPO DE CAPITAL ASEGURADO POR ENFERMEDADES GRAVES,"POL220130289
","- Otro tema
", - , - 
POL320180057,03/07/2018,COMPAÑIA DE SEGUROS DE VIDA CONSORCIO NACIONAL DE SEGUROS S.A.,SEGURO COLECTIVO COMPLEMENTARIO DE SALUD,"CAD320180077
","- Salud
", - , - 
POL220180056,29/06/2018,SEGUROS DE VIDA SURA S.A.,SEGURO INDIVIDUAL DE VIDA ENTERA,,"- Vida
", - , - 
POL220180055,22/06/2018,BNP PARIBAS CARDIF SEGUROS DE VIDA S.A.,PÓLIZA DE SEGURO DE VIDA,,"- Vida
", - , - 
POL120180054,21/06/2018,AVLA SEGUROS DE CREDITO Y GARANTIA S.A.,PÓLIZA DE SEGURO DE GARANTÍA A PRIMER REQUERIMIENTO PARA SERIEDAD DE OFERTA PARA CONCESIONES DE OBRAS PUBLICAS,,"- Garantías y Fidelidad
- MODELO PROHIBIDO
", - ,4406 del 14/05/2024
POL120180053,20/06/2018,BNP PARIBAS CARDIF SEGUROS GENERALES S.A.,POLIZA DE SEGURO POR DESEMPLEO O INCAPACIDAD TEMPORAL,,"- Varios Seg. Generales
", - , - 
CAD220180052,18/06/2018,ZURICH SANTANDER SEGUROS DE VIDA CHILE S.A.,CLÁUSULA ADICIONAL DE MUERTE ACCIDENTAL,"POL220180047
","- Vida
", - , - 
CAD320180051,14/06/2018,BICE VIDA COMPAÑIA DE SEGUROS S.A.,CLAUSULA ADICIONAL DE MUERTE ACCIDENTAL DERIVADA DE UN EVENTO DE ROBO O ASALTO ,"POL220130974
","- Accidentes Personales
", - , - 
POL120180050,14/06/2018,BCI SEGUROS GENERALES S.A.,PÓLIZA DE SEGUROS PARA PIEZAS Y PARTES DE VEHÍCULOS MOTORIZADOS,,"- Vehiculos Motorizados
", - , - 
POL220180049,12/06/2018,COMPAÑIA DE SEGUROS CONFUTURO S.A.,POLIZA DE SEGURO DE VIDA,"CAD320180043
","- Vida
", - , - 
POL220180048,12/06/2018,COMPAÑIA DE SEGUROS CONFUTURO S.A.,SEGURO DE VIDA,"CAD320180043
","- Vida
", - , - 
POL220180047,07/06/2018,ZURICH SANTANDER SEGUROS DE VIDA CHILE S.A.,PÓLIZA DE SEGURO DE VIDA,"CAD220180052
CAD320180060
","- Vida
", - , - 
CAD220180046,30/05/2018,EUROAMERICA SEGUROS DE VIDA S.A.,"COBERTURA ADICIONAL DE GASTO DE SEPULTACION

","POL220131598
","- Vida
", - , - 
CAD320180045,28/05/2018,COMPAÑIA DE SEGUROS DE VIDA CAMARA S.A.,CLAUSULA ADICIONAL DE COBERTURA ODONTOLOGICA,"POL320180044
POL320190080
POL320220134
","- Salud
", - , - 
POL320180044,28/05/2018,COMPAÑIA DE SEGUROS DE VIDA CAMARA S.A.,SEGURO COLECTIVO COMPLEMENTARIO DE SALUD,"CAD320180045
","- Salud
", - , - 
CAD320180043,28/05/2018,COMPAÑIA DE SEGUROS CONFUTURO S.A.,SEGURO SALUD ONCOLOGICO,"POL220130574
POL220180048
POL220180049
","- Salud
", - , - 
CAD120180042,23/05/2018,CHUBB SEGUROS CHILE S.A.,CLÁUSULA DE COBERTURA ADICIONAL COMPRA PROTEGIDA ,"POL120180041
","- MODELO PROHIBIDO
- Robo
", - ,3715 del 21/08/2020
POL120180041,23/05/2018,CHUBB SEGUROS CHILE S.A.,SEGURO FULL PROTECCIÓN,"CAD120180042
","- MODELO PROHIBIDO
- Robo
", - ,3715 del 21/08/2020
CAD320180040,18/05/2018,COMPAÑIA DE SEGUROS DE VIDA CAMARA S.A.,CLAUSULA ADICIONAL DE COBERTURA ODONTOLOGICA,"POL320180039
POL320200217
","- Salud
", - , - 
POL320180039,18/05/2018,COMPAÑIA DE SEGUROS DE VIDA CAMARA S.A.,SEGURO INDIVIDUAL COMPLEMENTARIO DE SALUD,"CAD320180040
","- Salud
", - , - 
POL320180038,11/05/2018,METLIFE CHILE SEGUROS DE VIDA S.A.,REEMBOLSO DE GASTOS MEDICOS A CAUSA DE ACCIDENTES TRAUMATÓLOGICOS.,,"- Accidentes Personales
", - , - 
CAD220180037,04/05/2018,COLMENA COMPAÑIA DE SEGUROS DE VIDA S.A.,CLÁUSULA ADICIONAL DE FALLECIMIENTO,"POL320150633
","- Vida
", - , - 
POL120180036,30/04/2018,ASSURANT CHILE COMPAÑIA DE SEGUROS GENERALES S.A.,Seguro de Daños Accidentales Pantalla Equipos Móviles,,"- Otro tema
", - , - 
CAD120180035,27/04/2018,COMPAÑIA DE SEGUROS GENERALES CONSORCIO NACIONAL DE SEGUROS S.A.,CLÁUSULA ADICIONAL DE DAÑO ACCIDENTAL,"POL120180033
","- Varios Seg. Generales
", - , - 
CAD120180034,27/04/2018,COMPAÑIA DE SEGUROS GENERALES CONSORCIO NACIONAL DE SEGUROS S.A.,CLÁUSULA ADICIONAL DE ROBO,"POL120180033
","- Robo
- Varios Seg. Generales
", - , - 
POL120180033,27/04/2018,COMPAÑIA DE SEGUROS GENERALES CONSORCIO NACIONAL DE SEGUROS S.A.,PÓLIZA DE EXTENCIÓN DE GARANTÍA DEL FABRICANTE,"CAD120180034
CAD120180035
","- Varios Seg. Generales
", - , - 
POL320180032,26/04/2018,CHUBB SEGUROS CHILE S.A.,SEGURO DE ACCIDENTES PERSONALES Y ASISTENCIA EN  VIAJES,,"- Accidentes Personales
- Asistencia Generales
", - , - 
POL320180031,19/04/2018,CHUBB SEGUROS CHILE S.A.,SEGURO DE ACCIDENTES PERSONALES Y ASISTENCIA EN  VIAJES,,"- Accidentes Personales
- Asistencia Generales
", - , - 
CAD320180030,06/04/2018,METLIFE CHILE SEGUROS DE VIDA S.A.,CLAUSULA DE ANTICIPO DE CAPITAL POR ENFERMEDADES GRAVES.,"POL220130163
","- Salud
", - , - 
CAD320180028,04/04/2018,COMPAÑIA DE SEGUROS CONFUTURO S.A.,"CLÁUSULA PAGO ANTICIPADO DEL CAPITAL ASEGURADO EN CASO DE INVALIDEZ PERMANENTE Y DEFINITIVA DOS TERCIOS
","POL220130587
","- Accidentes Personales
", - , - 
POL420180027,29/03/2018,ORSAN SEGUROS DE CREDITO Y GARANTIA S.A.,PÓLIZA DE SEGURO DE CRÉDITO DOMESTICO  ,,"- Créditos
", - , - 
POL120180026,27/03/2018,COMPAÑIA DE SEGUROS GENERALES CONSORCIO NACIONAL DE SEGUROS S.A.,PÓLIZA DE SEGURO DE ASISTENCIA DE VIAJE,,"- Asistencia Generales
", - , - 
POL120180025,26/03/2018,SOUTHBRIDGE COMPAÑIA DE SEGUROS GENERALES S.A.,SEGURO DE RESPONSABILIDAD CIVIL ENSAYOS CLÍNICOS,,"- Responsabilidad Civil
", - , - 
POL220180024,23/03/2018,COMPAÑIA DE SEGUROS CONFUTURO S.A.,PÓLIZA DE SEGURO DE VIDA DOTAL,"CAD320150761
CAD320150763
CAD320150764
CAD320150765
","- Otro tema
- Vida
", - , - 
POL120180023,19/03/2018,CHUBB SEGUROS CHILE S.A.,"SEGURO DE RESPONSABILIDAD CIVIL PROFESIONAL PARA ARQUITECTOS E INGENIEROS
",,"- Responsabilidad Civil
", - , - 
CAD320180022,09/03/2018,COMPAÑIA DE SEGUROS CONFUTURO S.A.,"
CLÁUSULA ADICIONAL DE MUERTE ACCIDENTAL
","POL220180021
","- Accidentes Personales
", - , - 
POL220180021,09/03/2018,COMPAÑIA DE SEGUROS CONFUTURO S.A.,SEGURO TEMPORAL DE VIDA,"CAD320180022
","- Vida
", - , - 
POL320180020,09/03/2018,COMPAÑIA DE SEGUROS CONFUTURO S.A.,PÓLIZA MUERTE ACCIDENTAL,,"- Accidentes Personales
", - , - 
POL320180019,27/02/2018,METLIFE CHILE SEGUROS DE VIDA S.A.,SEGURO DE HOSPITALIZACIÓN A CAUSA DE ACCIDENTES TRAUMATOLÓGICOS.,,"- Accidentes Personales
", - , - 
POL120180018,19/02/2018,COMPAÑIA DE SEGUROS GENERALES CONSORCIO NACIONAL DE SEGUROS S.A.,Seguro Auto,"CAD120131143
CAD120131151
CAD120131153
CAD120131154
CAD120131155
CAD120131156
CAD120160014
CAD120170162
","- Vehiculos Motorizados
", - , - 
POL320180017,12/02/2018,COMPAÑIA DE SEGUROS DE VIDA CONSORCIO NACIONAL DE SEGUROS S.A.,SEGURO COLECTIVO COMPLEMENTARIO DE SALUD,,"- Salud
", - , - 
CAD220180016,09/02/2018,MUTUAL DE SEGUROS DE CHILE,CLÁUSULA DE AMPLIACIÓN DE COBERTURA POR ACTIVIDADES U OFICIOS RIESGOSOS Y AHORRO,"POL220130734
POL220140350
POL220140416
POL220170070
","- Vida Flexible
", - , - 
CAD220180015,09/02/2018,MUTUAL DE SEGUROS DE CHILE,CLÁUSULA DE AMPLIACIÓN DE COBERTURA POR ACTIVIDADES U OFICIOS RIESGOSOS,"POL220130734
POL220140350
POL220140416
POL220170070
","- Vida Flexible
", - , - 
POL320180014,09/02/2018,SEGUROS VIDA SECURITY  PREVISION S.A.,PÓLIZA DE SEGURO ONCOLÓGICO,,"- Salud
", - , - 
CAD320180013,07/02/2018,OHIO NATIONAL SEGUROS DE VIDA S.A.,CLAUSULA ADICIONAL DE PAGO DE BENEFICIO DIARIO POR HOSPITALIZACION A CAUSA DE ENFERMEDAD,"POL320130642
","- Otro tema
", - , - 
POL320180012,01/02/2018,METLIFE CHILE SEGUROS DE VIDA S.A.,PÓLIZA DE SEGURO DE ENFERMEDADES GRAVES CON CUENTA DE CAPITALIZACIÓN Y AHORRO,,"- Salud
", - , - 
POL320180011,19/01/2018,COMPAÑIA DE SEGUROS GENERALES CONSORCIO NACIONAL DE SEGUROS S.A.,PÓLIZA DE SEGURO DE ACCIDENTES PERSONALES DE DEPORTES,,"- Accidentes Personales
- Salud
", - , - 
POL220180010,18/01/2018,COMPAÑIA DE SEGUROS DE VIDA CONSORCIO NACIONAL DE SEGUROS S.A.,SEGURO DE RENTA NO PREVISIONAL,,"- Renta Privada
", - , - 
POL220180009,18/01/2018,COMPAÑIA DE SEGUROS DE VIDA CONSORCIO NACIONAL DE SEGUROS S.A.,SEGURO DE RENTA NO PREVISIONAL CON PERÍODO GARANTIZADO DE PAGO,,"- Renta Privada
", - , - 
POL420180008,12/01/2018,AVLA SEGUROS DE CREDITO Y GARANTIA S.A.,SEGURO DE CRÉDITO PARA OPERACIONES DE CRÉDITO ,,"- Créditos
", - , - 
POL120180007,11/01/2018,ACE SEGUROS S.A.,PÓLIZA DE SEGURO DE INCENDIO,,"- Incendio
", - , - 
POL320180006,11/01/2018,ACE SEGUROS S.A.,PÓLIZA MICROSEGURO DE ACCIDENTES PERSONALES ,,"- Accidentes Personales
", - , - 
POL320180005,10/01/2018,METLIFE CHILE SEGUROS DE VIDA S.A.,SEGURO DE SALUD ONCOLÓGICO,"CAD220140205
","- Salud
", - , - 
POL320180004,10/01/2018,METLIFE CHILE SEGUROS DE VIDA S.A.,SEGURO COLECTIVO DE GASTOS DENTALES,,"- Salud
", - , - 
POL320180003,09/01/2018,BICE VIDA COMPAÑIA DE SEGUROS S.A.,PÓLIZA COLECTIVA DE REEMBOLSO DE GASTOS MEDICOS POR EVENTO,,"- Salud
", - , - 
POL120180002,04/01/2018,HDI SEGUROS S.A.,POLIZA DE SEGURO PARA TELÉFONOS MOVILES,,"- Ingeniería y Computadores
", - , - 
POL120180001,03/01/2018,CHILENA CONSOLIDADA SEGUROS GENERALES S.A.,SEGURO DE PROTECCIÓN FINANCIERA PARA EMPLEADORES POR ACCIDENTES DE EMPLEADOS DEPENDIENTES,,"- Otro tema
- Varios Seg. Generales
", - , - 
POL120170260,29/12/2017,CHILENA CONSOLIDADA SEGUROS GENERALES S.A.,SEGURO DE PROTECCIÓN  FINANCIERA PARA EMPLEADORES POR ACCIDENTES DE  EMPLEADOS DEPENDIENTES Y OTROS,,"- Otro tema
", - , - 
POL320170259,29/12/2017,ACE SEGUROS S.A.,SEGURO DE ACCIDENTES PERSONALES Y ASISTENCIA EN  VIAJES,,"- Accidentes Personales
- Asistencia Generales
", - , - 
POL320170258,21/12/2017,ALEMANA SEGUROS S.A.,SEGURO PARA PRESTACIONES MÉDICAS DE ALTO COSTO,,"- Salud
", - , - 
POL120170257,21/12/2017,COMPAÑIA DE SEGUROS GENERALES CONSORCIO NACIONAL DE SEGUROS S.A.,PÓLIZA DE SEGURO DE RESPONSABILIDAD CIVIL PROFESIONAL,,"- Responsabilidad Civil
", - , - 
POL320170256,19/12/2017,METLIFE CHILE SEGUROS DE VIDA S.A.,"PÓLIZA DE SEGURO DE SALUD ONCOLÓGICO CON CUENTA DE CAPITALIZACIÓN Y AHORRO 
",,"- Salud
", - , - 
POL320170255,13/12/2017,BNP PARIBAS CARDIF SEGUROS DE VIDA S.A.,"POLIZA DE INDEMNIZACION POR HOSPITALIZACION CONVENCIONAL POR ENFERMEDAD Y/O ACCIDENTE, INDEMNIZACION POR HOSPITALIZACION EN UNA UNIDAD DE CUIDADOS INTENSIVOS O UNIDAD DE TRATAMIENTOS INTENSIVOS Y DE INDEMNIZACION POR HOSPITALIZACION EN UN ESTABLECIMIENTO FUERA DEL PAIS DE RESIDENCIA DEL ASEGURADO.",,"- Otro tema
", - , - 
POL320170254,11/12/2017,BNP PARIBAS CARDIF SEGUROS DE VIDA S.A.,PÓLIZA DE ENFERMEDADES GRAVES,,"- Salud
", - , - 
POL320170253,07/12/2017,BUPA COMPAÑIA DE SEGUROS DE VIDA S.A.,SEGURO PARA PRESTACIONES MÉDICAS DE ALTO COSTO,,"- Salud
", - , - 
POL120170252,06/12/2017,HDI SEGUROS S.A.,POLIZA DE SEGURO PARA TELÉFONOS MOVILES,,"- Ingeniería y Computadores
", - , - 
CAD220170251,05/12/2017,METLIFE CHILE SEGUROS DE VIDA S.A.,CLÁUSULA DE PAGO A TODO EVENTO EN CASO DE FALLECIMIENTO.,"POL320140335
","- Vida
", - , - 
POL120170250,04/12/2017,COMPAÑIA DE SEGUROS GENERALES CONSORCIO NACIONAL DE SEGUROS S.A.,CONDICIONES GENERALES PARA EL SEGURO DE RESPONSABILIDAD CIVIL DEL PROPIETARIO Y/O CONDUCTOR DE VEHÍCULO TERRESTRE (AUTOMÓVIL DE PASEO-PARTICULAR O DE ALQUILER) NO MATRICULADO EN EL PAIS DE INGRESO EN VIAJE INTERNACIONAL - DAÑOS CAUSADOS A PERSONAS O COSAS NO TRANSPORTADAS. ,,"- Responsabilidad Civil
- Varios Seg. Generales
- Vehiculos Motorizados
", - , - 
POL220170249,30/11/2017,BNP PARIBAS CARDIF SEGUROS DE VIDA S.A.,SEGURO DE DESGRAVAMEN ,"CAD220131704
CAD220131823
","- Desgravamen
", - , - 
POL220170248,30/11/2017,BNP PARIBAS CARDIF SEGUROS DE VIDA S.A.,SEGURO COLECTIVO TEMPORAL DE VIDA,"CAD220130436
CAD220130438
CAD220130638
","- Vida
", - , - 
POL420170247,29/11/2017,AVLA SEGUROS DE CREDITO Y GARANTIA S.A.,SEGURO DE CRÉDITO FACTURAS BPC 2017,,"- Créditos
", - , - 
POL220170246,23/11/2017,ACE SEGUROS DE VIDA S.A.,SEGURO COLECTIVO TEMPORAL DE VIDA,,"- Vida
", - , - 
POL120170245,23/11/2017,ACE SEGUROS S.A.,SEGURO DE FRAUDE,,"- MODELO PROHIBIDO
- Otro tema
", - ,3715 del 21/08/2020
POL120170244,23/11/2017,ACE SEGUROS S.A.,SEGURO DE CESANTÍA O INCAPACIDAD TEMPORAL,,"- Otro tema
", - , - 
POL320170243,23/11/2017,ACE SEGUROS S.A.,SEGURO ACCIDENTES PERSONALES Y HOSPITALIZACIÓN A CAUSA DE ACCIDENTE O ENFERMEDAD,"CAD320200119
","- Salud
", - , - 
POL320170242,23/11/2017,ACE SEGUROS S.A.,SEGURO DE ENFERMEDADES GRAVES,,"- Salud
", - , - 
POL320170241,23/11/2017,ACE SEGUROS S.A.,SEGURO DE ACCIDENTES PERSONALES,,"- Accidentes Personales
", - , - 
POL120170240,23/11/2017,SOUTHBRIDGE COMPAÑIA DE SEGUROS GENERALES S.A.,PÓLIZA DE ACCIDENTES PERSONALES / REEMBOLSO GASTOS MÉDICOS,,"- Otro tema
", - , - 
POL120170239,23/11/2017,SOUTHBRIDGE COMPAÑIA DE SEGUROS GENERALES S.A.,PÓLIZA DE ACCIDENTES PERSONALES / REEMBOLSO GASTOS MÉDICOS,,"- Otro tema
", - , - 
CAD220170238,22/11/2017,OHIO NATIONAL SEGUROS DE VIDA S.A.,CLAUSULA ADICIONAL DE PAGO DE BENEFICIO DIARIO POR HOSPITALIZACION POR ACCIDENTE,"POL220130289
","- Vida
", - , - 
POL320170237,21/11/2017,BICE VIDA COMPAÑIA DE SEGUROS S.A.,"POLIZA DE SEGURO COLECTIVO DE INDEMNIZACIÓN DIARIA POR
HOSPITALIZACIÓN POR ACCIDENTE O POR ENFERMEDAD",,"- Accidentes Personales
- Salud
", - , - 
CAD120170236,20/11/2017,METLIFE CHILE SEGUROS GENERALES S.A.,CLÁUSULA ADICIONAL DE DAÑOS MATERIALES CAUSADOS POR PESO DE NIEVE O HIELO ,"POL120150703
POL120230412
","- Incendio
- Multirriesgo
", - , - 
POL420170235,17/11/2017,AVLA SEGUROS DE CREDITO Y GARANTIA S.A.,SEGURO DE CRÉDITO PARA OPERACIONES DE CRÉDITO CON GARANTÍA HIPOTECARIA,,"- Créditos
", - , - 
POL320170234,15/11/2017,BUPA COMPAÑIA DE SEGUROS DE VIDA S.A.,SEGURO COMPLEMENTARIO DE SALUD,,"- Salud
", - , - 
POL320170233,14/11/2017,SEGUROS GENERALES SURAMERICANA S.A.,SEGURO PARA ENFERMEDADES GRAVES,,"- Otro tema
", - , - 
POL320170232,13/11/2017,SEGUROS GENERALES SURAMERICANA S.A.,SEGURO PARA ENFERMEDADES GRAVES,,"- Otro tema
", - , - 
POL420170231,08/11/2017,SOLUNION CHILE SEGUROS DE CREDITO S.A.,POLIZA DE SEGURO DE CREDITO,,"- Créditos
", - , - 
POL120170230,08/11/2017,CHILENA CONSOLIDADA SEGUROS GENERALES S.A.,PÓLIZA DE SEGURO MULTIRIESGO PARA PEQUEÑAS Y MEDIANAS EMPRESAS,,"- Multirriesgo
", - , - 
POL220170229,08/11/2017,METLIFE CHILE SEGUROS DE VIDA S.A.,SEGURO DE VIDA FLEXIBLE PARA AHORRO PREVISIONAL VOLUNTARIO CON ALTERNATIVAS DE INVERSION,"CAD320140144
CAD320140145
","- Ahorro Previ Voluntario (APV)
- Vida
- Vida Flexible
", 4846 del 04/10/2017, - 
CAD220170228,03/11/2017,OHIO NATIONAL SEGUROS DE VIDA S.A.,CLAUSULA ADICIONAL DE PAGO DE INDEMNIZACIÓN POR FRACTURA ACCIDENTAL DE HUESOS,"POL220130289
","- Vida
", - , - 
POL120170227,02/11/2017,BNP PARIBAS CARDIF SEGUROS GENERALES S.A.,Póliza de Seguro de Fraude,,"- MODELO PROHIBIDO
- Otro tema
", - ,3715 del 21/08/2020
POL320170226,31/10/2017,BNP PARIBAS CARDIF SEGUROS DE VIDA S.A.,Seguro de Enfermedades Graves,,"- Salud
", - , - 
POL120170225,31/10/2017,BCI SEGUROS GENERALES S.A.,SEGURO DE PROTECCIÓN DE TELÉFONOS MÓVILES,,"- Otro tema
", - , - 
POL320170224,31/10/2017,BICE VIDA COMPAÑIA DE SEGUROS S.A.,POLIZA INDIVIDUAL DE SEGURO ONCOLOGICO SIN CANCER PREVIO,,"- Salud
", - , - 
CAD320170223,30/10/2017,METLIFE CHILE SEGUROS DE VIDA S.A.,CLÁUSULA ADICIONAL POR FRACTURA ACCIDENTAL,"POL320170103
","- Accidentes Personales
", - , - 
POL120170222,25/10/2017,CHILENA CONSOLIDADA SEGUROS GENERALES S.A.,POLIZA DE SEGURO MULTIRIESGO PARA PEQUEÑAS Y MEDIANAS EMPRESAS,,"- Multirriesgo
", - , - 
POL120170221,25/10/2017,MAPFRE COMPAÑIA DE SEGUROS GENERALES DE CHILE S.A.,PÓLIZA DE SEGURO DE EXTRAVÍO,,"- Transportes y Cascos
", - , - 
POL420170220,25/10/2017,AVLA SEGUROS DE CREDITO Y GARANTIA S.A.,SEGURO DE CRÉDITO FACTURAS BPC – 2017,,"- Créditos
", - , - 
CAD120170219,25/10/2017,COMPAÑIA DE SEGUROS GENERALES CONSORCIO NACIONAL DE SEGUROS S.A.,CLÁUSULA ADICIONAL DE ROBO,"POL120130842
","- Robo
- Varios Seg. Generales
", - , - 
POL420170218,24/10/2017,AVLA SEGUROS DE CREDITO Y GARANTIA S.A.,"SEGURO DE CRÉDITO PARA OPERACIONES
DE CRÉDITO DE DINERO CON GARANTÍA HIPOTECARIA",,"- Créditos
", - , - 
POL420170217,23/10/2017,CESCE CHILE ASEGURADORA S.A.,POLIZA SEGURO DE CREDITO FACTORING,,"- Créditos
", - , - 
POL420170216,21/10/2017,CESCE CHILE ASEGURADORA S.A.,POLIZA SEGURO DE CREDITO ,,"- Créditos
", - , - 
POL420170215,21/10/2017,CESCE CHILE ASEGURADORA S.A.,POLIZA SEGURO DE CREDITO GLOBAL	,,"- Créditos
", - , - 
POL420170214,21/10/2017,CESCE CHILE ASEGURADORA S.A.,POLIZA SEGURO DE CREDITO GLOBAL	,,"- Créditos
", - , - 
POL120170213,20/10/2017,ACE SEGUROS S.A.,SEGURO DE DAÑO ACCIDENTAL Y ROBO ,,"- Robo
", - , - 
CAD420170212,18/10/2017,COMPAÑIA DE SEGUROS DE CREDITO CONTINENTAL S.A.,CLAUSULA ADICIONAL DE TERREMOTO,"POL420170210
","- Créditos
", - , - 
CAD420170211,18/10/2017,COMPAÑIA DE SEGUROS DE CREDITO CONTINENTAL S.A.,CLAUSULA ADICIONAL DE RIESGO POLÍTICO,"POL420170210
","- Créditos
", - , - 
POL420170210,18/10/2017,COMPAÑIA DE SEGUROS DE CREDITO CONTINENTAL S.A.,PÓLIZA DE SEGURO DE CRÉDITO,"CAD420170211
CAD420170212
","- Créditos
", - , - 
POL120170209,12/10/2017,MAPFRE COMPAÑIA DE SEGUROS GENERALES DE CHILE S.A.,PÓLIZA DE SEGURO DE EXTRAVÍO,,"- Robo
", - , - 
POL320170208,06/10/2017,BBVA SEGUROS DE VIDA S.A.,Enfermedades Graves,,"- Salud
", - , - 
POL220170207,06/10/2017,MUTUALIDAD DEL EJERCITO Y AVIACION,POLIZA DE SEGURO DE VIDA COLECTIVO CON RENTA TEMPORAL PARA PERSONAL DEL EJÉRCITO Y FUERZA AÉREA DE CHILE AFECTO AL REGIMEN PREVISIONAL DE LA CAJA DE PREVISIÓN DE LA DEFENSA NACIONAL,,"- Autorizada para personas del Art 1° del DL N°1092
- Vida
", 4563 del 15/09/2017, - 
POL220170206,06/10/2017,CHILENA CONSOLIDADA SEGUROS DE VIDA S.A.,SEGURO DE VIDA INDIVIDUAL CON  RENTAS PERIODICAS,,"- Vida Flexible
", - , - 
CAD120170205,04/10/2017,COMPAÑIA DE SEGUROS GENERALES CONSORCIO NACIONAL DE SEGUROS S.A.,CLÁUSULA ADICIONAL DE DAÑO ACCIDENTAL,"POL120130842
","- Otro tema
", - , - 
POL120170204,04/10/2017,COMPAÑIA DE SEGUROS GENERALES CONSORCIO NACIONAL DE SEGUROS S.A.,PÓLIZA DE SEGURO DE FRAUDE,,"- MODELO PROHIBIDO
- Robo
- Varios Seg. Generales
", - ,3715 del 21/08/2020
POL120170203,29/09/2017,AVLA SEGUROS DE CREDITO Y GARANTIA S.A.,POLIZA DE SEGURO DE GARANTIA A PRIMER REQUERIMIENTO PARA CONCESIONES DE OBRAS PÚBLICAS,,"- Garantías y Fidelidad
- MODELO PROHIBIDO
", - ,4406 del 14/05/2024
POL120170202,29/09/2017,AVLA SEGUROS DE CREDITO Y GARANTIA S.A.,POLIZA DE GARANTIA DE CUMPLIMIENTO DE CONTRATO EN GENERAL Y DE EJECUCION INMEDIATA,,"- Garantías y Fidelidad
- MODELO PROHIBIDO
", - ,4406 del 14/05/2024
POL320170201,29/09/2017,COMPAÑIA DE SEGUROS GENERALES CONSORCIO NACIONAL DE SEGUROS S.A.,PÓLIZA DE ACCIDENTES PERSONALES,"CAD320131503
CAD320150751
CAD320150768
CAD320160085
CAD320170007
CAD320230411
","- Accidentes Personales
- Varios Seg. Generales
", - , - 
CAD120170200,25/09/2017,CHILENA CONSOLIDADA SEGUROS GENERALES S.A.,Clausula de Daños Materiales Causados por Combustión Espontanea,"POL120170184
","- Multirriesgo
", - , - 
CAD120170199,25/09/2017,CHILENA CONSOLIDADA SEGUROS GENERALES S.A.,CLAUSULA DE DAÑOS MATERIALES CAUSADOS POR VIENTO,"POL120170184
","- Multirriesgo
", - , - 
CAD120170198,25/09/2017,CHILENA CONSOLIDADA SEGUROS GENERALES S.A.,"CLAUSULA DE DAÑOS MATERIALES CAUSADOS POR VEHÍCULOS
MOTORIZADOS","POL120170184
","- Multirriesgo
", - , - 
