Código,Fecha Depósito,Nombre entidad que deposita,Texto depositado,Pólizas/Cláusulas,Temas,Res. Autoriza,Res. Prohibición
CAD120230332,26/04/2023,CHUBB SEGUROS CHILE S.A.,"COBERTURA ADICIONAL POR TRABAJOS EN RIBERAS, LECHOS O CAUCES DONDE CORRAN AGUAS Y A ORILLAS DE LAGOS ","POL120230324
","- Otro tema
", - , - 
CAD120230331,26/04/2023,CHUBB SEGUROS CHILE S.A.,COBERTURA ADICIONAL POR TRABAJOS EN MUELLES O EQUIPOS FLOTANTES ,"POL120230324
","- Otro tema
", - , - 
CAD120230330,26/04/2023,CHUBB SEGUROS CHILE S.A.,COBERTURA ADICIONAL DE  LABORES O TRABAJOS SUBTERRANEOS ,"POL120230324
","- Otro tema
", - , - 
CAD120230329,26/04/2023,CHUBB SEGUROS CHILE S.A.,COBERTURA ADICIONAL POR HUELGA Y MOTIN ,"POL120230324
","- Otro tema
", - , - 
CAD120230328,26/04/2023,CHUBB SEGUROS CHILE S.A.,"COBERTURA ADICIONAL DE GASTOS POR SALVAMENTO, REMOCION DE ESCOMBROS Y LIMPIEZA ","POL120230324
","- Incendio
", - , - 
CAD120230327,26/04/2023,CHUBB SEGUROS CHILE S.A.,COBERTURA ADICIONAL DE GASTOS EXTRAS POR TRABAJOS EFECTUADOS FUERA DE HORARIO NORMAL Y POR TRANSPORTES EXPRESOS ,"POL120230324
","- Otro tema
", - , - 
CAD120230326,26/04/2023,CHUBB SEGUROS CHILE S.A.,COBERTURA ADICIONAL DE GASTOS DE FLETE AEREO ,"POL120230324
","- Otro tema
", - , - 
CAD120230325,26/04/2023,CHUBB SEGUROS CHILE S.A.,COBERTURA ADICIONAL ACTOS TERRORISTAS ,"POL120230324
","- Otro tema
", - , - 
POL120230324,26/04/2023,CHUBB SEGUROS CHILE S.A.,PÓLIZA DE EQUIPO MOVIL CONTRATISTA Y EQUIPO MOVIL AGRICOLA ,"CAD120230325
CAD120230326
CAD120230327
CAD120230328
CAD120230329
CAD120230330
CAD120230331
CAD120230332
","- Otro tema
", - , - 
POL120230323,25/04/2023,CHUBB SEGUROS CHILE S.A.,PÓLIZA DE SEGURO DE CRISTALES ,,"- Otro tema
", - , - 
CAD320230322,21/04/2023,COLMENA COMPAÑIA DE SEGUROS DE VIDA S.A.,CLÁUSULA DE EXONERACIÓN DE PRIMAS POR PARTO NORMAL O CESÁREA U HOSPITALIZACIÓN ACCIDENTAL,"POL220230317
","- Accidentes Personales
", - , - 
CAD320230321,21/04/2023,COLMENA COMPAÑIA DE SEGUROS DE VIDA S.A.,CLÁUSULA DE ANTICIPO DE CAPITAL POR ENFERMEDADES Y/O PROCEDIMIENTOS CARDÍACOS,"POL220230317
","- Salud
", - , - 
CAD320230320,21/04/2023,COLMENA COMPAÑIA DE SEGUROS DE VIDA S.A.,CLÁUSULA DE ANTICIPO DE CAPITAL POR DIAGNÓSTICO DE CÁNCER Y CIRUGÍAS,"POL220230317
","- Salud
", - , - 
POL320230319,21/04/2023,SEGUROS VIDA SECURITY  PREVISION S.A.,POLIZA COLECTIVA DE ACCIDENTES PERSONALES,,"- Accidentes Personales
", - , - 
CAD320230318,21/04/2023,COLMENA COMPAÑIA DE SEGUROS DE VIDA S.A.,CLÁUSULA ADICIONAL COBERTURA ACCIDENTAL,"POL220230317
","- Accidentes Personales
", - , - 
POL220230317,21/04/2023,COLMENA COMPAÑIA DE SEGUROS DE VIDA S.A.,SEGURO DE VIDA TEMPORAL,"CAD320230318
CAD320230320
CAD320230321
CAD320230322
","- Vida
", - , - 
CAD220230316,21/04/2023,ZURICH CHILE SEGUROS DE VIDA S.A.,CLÁUSULA DE INDEMNIZACIÓN POR ACTO QUIRÚRGICO,"POL220130565
","- Vida
", - , - 
CAD220230315,20/04/2023,ZURICH CHILE SEGUROS DE VIDA S.A.,Cáncer Primario,"POL220130565
","- Vida
", - , - 
POL120230314,19/04/2023,BNP PARIBAS CARDIF SEGUROS GENERALES S.A.,POLIZA DE SEGURO POR DESEMPLEO ,,"- Otro tema
", - , - 
POL320230313,18/04/2023,BNP PARIBAS CARDIF SEGUROS GENERALES S.A.,"PÓLIZA DE INVALIDEZ TOTAL Y PERMANENTE 2/3 POR ACCIDENTE O
ENFERMEDAD",,"- Accidentes Personales
", - , - 
CAD220230312,17/04/2023,COLMENA COMPAÑIA DE SEGUROS DE VIDA S.A.,SEGURO DE VIDA TEMPORAL,"POL320230311
","- Vida
", - , - 
POL320230311,17/04/2023,COLMENA COMPAÑIA DE SEGUROS DE VIDA S.A.,SEGURO DE SALUD COMPLEMENTARIO INDIVIDUAL,"CAD220230312
","- Salud
", - , - 
